localdata,globaldata,date,x,y,localylabel,globalylabel,annotation,title,imgsrctext,imgsrcurl,localdatasrctext,localdatasrcurl,globaldatasrctext,globaldatasrcurl,moreinfo
281.9965091,null,5/4/1956,null,null,,,,,,,,,,,
282.0207844,null,6/20/1956,null,null,,,,,,,,,,,
282.0421671,null,7/27/1956,null,null,,,,,,,,,,,
282.0693187,null,8/16/1956,null,null,,,,,,,,,,,
null,0.474794634,8/20/1956,null,null,,,,,,,,,,,
null,0.492539868,9/11/1956,null,null,,,,,,,,,,,
null,0.468876817,10/4/1956,null,null,,,,,,,,,,,
null,0.462958999,11/18/1956,null,null,,,,,,,,,,,
null,0.449150758,2/16/1957,null,null,,,,,,,,,,,
282.1577915,null,3/30/1957,null,null,,,,,,,,,,,
null,0.421542494,7/24/1957,null,null,,,,,,,,,,,
null,0.41366029,9/7/1957,null,null,,,,,,,,,,,
282.2305353,null,1/16/1958,null,null,,,,,,,,,,,
282.2823074,null,4/8/1958,null,null,,,,,,,,,,,
null,0.370279399,6/27/1958,null,null,,,,,,,,,,,
282.3501535,null,7/18/1958,null,null,,,,,,,,,,,
282.3920642,0.360416369,9/2/1958,null,null,,,,,,,,,,,
282.4239164,null,11/3/1958,null,null,,,,,,,,,,,
282.4667311,null,4/11/1959,null,null,,,,,,,,,,,
282.4491286,null,12/16/1959,null,null,,,,,,,,,,,
282.4517911,null,4/16/1960,null,null,,,,,,,,,,,
282.4791235,null,7/18/1960,null,null,,,,,,,,,,,
null,0.269709375,8/24/1960,null,null,,,,,,,,,,,
282.5211822,null,2/24/1961,null,null,,,,,,,,,,,
null,0.253936747,3/14/1961,null,null,,,,,,,,,,,
null,0.228301089,9/11/1961,null,null,,,,,,,,,,,
282.4869633,null,9/19/1961,null,null,,,,,,,,,,,
282.4312302,null,2/12/1962,null,null,,,,,,,,,,,
282.408467,null,5/8/1962,null,null,,,,,,,,,,,
null,0.113610494,6/23/1962,null,null,,,,,,,,,,,
282.4170299,null,9/10/1962,null,null,,,,,,,,,,,
null,0.096202247,2/22/1963,null,null,,,,,,,,,,,
null,0.096185809,7/19/1963,null,null,,,,,,,,,,,
null,0.102103627,7/19/1963,null,null,,,,,,,,,,,
282.4132333,null,8/24/1963,null,null,,,,,,,,,,,
null,0.102103627,10/17/1963,null,null,,,,,,,,,,,
null,null,10/31/1963,0,0,,,"Lake Chad covers 22,903 to 25,000 km2",,,,,,,,
282.3665562,null,4/20/1964,null,null,,,,,,,,,,,
null,0.096185809,5/7/1964,null,null,,,,,,,,,,,
null,0.086330999,5/7/1964,null,null,,,,,,,,,,,
null,0.054777524,7/13/1964,null,null,,,,,,,,,,,
null,0.044914494,8/5/1964,null,null,,,,,,,,,,,
null,0.070558371,9/19/1964,null,null,,,,,,,,,,,
null,0.033087078,9/19/1964,null,null,,,,,,,,,,,
null,0.060695341,10/11/1964,null,null,,,,,,,,,,,
null,-0.004178735,12/25/1964,null,null,,,,,,,,,,,
null,0.013369238,1/10/1965,null,null,,,,,,,,,,,
null,0.009424026,2/1/1965,null,null,,,,,,,,,,,
282.2525261,null,5/28/1965,null,null,,,,,,,,,,,
null,-0.016211631,7/9/1965,null,null,,,,,,,,,,,
null,-0.037902077,10/29/1965,null,null,,,,,,,,,,,
282.1890191,null,11/30/1965,null,null,,,,,,,,,,,
null,-0.073392545,1/5/1966,null,null,,,,,,,,,,,
null,-0.081274749,1/28/1966,null,null,,,,,,,,,,,
