localdata,globaldata,date,x,y,localylabel,globalylabel,annotation,title,intro,imgsrc,datasrc,fastfacts,moreinfo,moreinfosrc
126.1811042,126.1811042,11/30/88,null,null,,,,,,,,,,
125.5624192,125.5624192,12/31/88,null,null,,,,,,,,,,
125.4589858,125.4589858,1/30/89,null,null,,,,,,,,,,
125.4589858,125.4589858,3/1/89,null,null,,,,,,,,,,
125.2540344,125.2540344,4/1/89,null,null,,,,,,,,,,
124.2235311,124.2235311,5/1/89,null,null,,,,,,,,,,
124.4821146,124.4821146,6/1/89,null,null,,,,,,,,,,
124.9954508,124.9954508,7/1/89,null,null,,,,,,,,,,
124.9954508,124.9954508,8/1/89,null,null,,,,,,,,,,
null,null,8/6/89,1440,0,,,,,,,,,,
124.3269645,124.3269645,8/31/89,null,null,,,,,,,,,,
124.8939329,124.8939329,9/30/89,null,null,,,,,,,,,,
124.9954508,124.9954508,10/31/89,null,null,,,,,,,,,,
127.6713116,127.6713116,11/30/89,null,null,,,,,,,,,,
127.5697936,127.5697936,12/31/89,null,null,,,,,,,,,,
127.5697936,127.5697936,1/30/90,null,null,,,,,,,,,,
126.9511086,126.9511086,3/2/90,null,null,,,,,,,,,,
126.3860556,126.3860556,4/1/90,null,null,,,,,,,,,,
126.5412058,126.5412058,5/1/90,null,null,,,,,,,,,,
125.7175693,125.7175693,6/1/90,null,null,,,,,,,,,,
124.687066,124.687066,7/1/90,null,null,,,,,,,,,,
null,null,7/24/90,1440,-480,,,,,,,,,,
124.4284825,124.4284825,8/1/90,null,null,,,,,,,,,,
124.3269645,124.3269645,10/1/90,null,null,,,,,,,,,,
124.1200977,124.1200977,10/31/90,null,null,,,,,,,,,,
121.6491883,121.6491883,11/30/90,null,null,,,,,,,,,,
121.9077719,121.9077719,12/31/90,null,null,,,,,,,,,,
121.3408035,121.3408035,1/30/91,null,null,,,,,,,,,,
121.2373701,121.2373701,3/2/91,null,null,,,,,,,,,,
121.4442369,121.4442369,4/1/91,null,null,,,,,,,,,,
120.980702,120.980702,5/2/91,null,null,,,,,,,,,,
120.7757506,120.7757506,6/1/91,null,null,,,,,,,,,,
120.4654504,120.4654504,7/1/91,null,null,,,,,,,,,,
null,null,7/27/91,1440,-960,,,,,,,,,,
120.0019154,120.0019154,8/1/91,null,null,,,,,,,,,,
119.796964,119.796964,8/31/91,null,null,,,,,,,,,,
120.4654504,120.4654504,10/1/91,null,null,,,,,,,,,,
120.6723172,120.6723172,10/31/91,null,null,,,,,,,,,,
121.1339367,121.1339367,12/1/91,null,null,,,,,,,,,,
120.6206005,120.6206005,12/31/91,null,null,,,,,,,,,,
120.5171671,120.5171671,1/30/92,null,null,,,,,,,,,,
120.0019154,120.0019154,3/1/92,null,null,,,,,,,,,,
120.5688838,120.5688838,3/31/92,null,null,,,,,,,,,,
120.7221185,120.7221185,5/1/92,null,null,,,,,,,,,,
119.796964,119.796964,5/31/92,null,null,,,,,,,,,,
120.4654504,120.4654504,7/1/92,null,null,,,,,,,,,,
null,null,7/13/92,0,-1440,,,,,,,,,,
120.1053488,120.1053488,7/31/92,null,null,,,,,,,,,,
120.3103002,120.3103002,8/30/92,null,null,,,,,,,,,,
116.3989848,116.3989848,9/30/92,null,null,,,,,,,,,,
119.2817124,119.2817124,10/30/92,null,null,,,,,,,,,,
118.8698942,118.8698942,11/30/92,null,null,,,,,,,,,,
118.5097927,118.5097927,12/30/92,null,null,,,,,,,,,,
120.0019154,120.0019154,1/30/93,null,null,,,,,,,,,,
119.6935306,119.6935306,3/1/93,null,null,,,,,,,,,,
118.4580759,118.4580759,3/31/93,null,null,,,,,,,,,,
117.3777714,117.3777714,5/1/93,null,null,,,,,,,,,,
117.6344395,117.6344395,5/31/93,null,null,,,,,,,,,,
117.274338,117.274338,7/1/93,null,null,,,,,,,,,,
117.0674711,117.0674711,7/31/93,null,null,,,,,,,,,,
null,null,8/17/93,720,-1440,,,,,,,,,,
116.6039362,116.6039362,8/30/93,null,null,,,,,,,,,,
116.4507015,116.4507015,9/30/93,null,null,,,,,,,,,,
116.4507015,116.4507015,10/30/93,null,null,,,,,,,,,,
116.3989848,116.3989848,11/30/93,null,null,,,,,,,,,,
116.5024182,116.5024182,12/30/93,null,null,,,,,,,,,,
116.2438347,116.2438347,1/30/94,null,null,,,,,,,,,,
115.8339319,115.8339319,3/1/94,null,null,,,,,,,,,,
117.1709046,117.1709046,3/31/94,null,null,,,,,,,,,,
115.0600967,115.0600967,5/1/94,null,null,,,,,,,,,,
114.7517119,114.7517119,5/31/94,null,null,,,,,,,,,,
114.1349423,114.1349423,7/1/94,null,null,,,,,,,,,,
null,null,7/26/94,1440,-1440,,,,,,,,,,
114.2364603,114.2364603,8/1/94,null,null,,,,,,,,,,
114.6482785,114.6482785,9/1/94,null,null,,,,,,,,,,
115.2152469,115.2152469,10/1/94,null,null,,,,,,,,,,
