"date","insitu","mining","file","x","y"
"1991-10-31",15.03487124,35.38090129,NA,NA,NA
"1991-12-31",19.32096873,35.31958921,NA,NA,NA
"1992-01-30",17.67320662,35.17014102,NA,NA,NA
"1992-03-01",15.10001533,35.05901288,NA,NA,NA
"1992-03-31",14.94481913,34.75245248,NA,NA,NA
"1992-05-01",15.35675966,35.05901288,NA,NA,NA
"1992-05-31",16.9508737,34.2945279,NA,NA,NA
"1992-07-13",NA,NA,"athabasca_tm5_19920713",0,-1440
"1992-07-31",15.61350399,34.86166462,NA,NA,NA
"1992-08-30",15.0003832,35.21995708,NA,NA,NA
"1992-09-30",15.51387186,30.63687922,NA,NA,NA
"1992-10-30",18.65994788,33.72355917,NA,NA,NA
"1992-11-30",18.76724402,33.05487431,NA,NA,NA
"1992-12-30",15.26670754,32.89776211,NA,NA,NA
"1993-03-01",17.17312998,33.20815451,NA,NA,NA
"1993-03-31",15.98904047,32.33254139,NA,NA,NA
"1993-05-01",15.4698038,31.30364807,NA,NA,NA
"1993-05-31",15.36442367,31.81905273,NA,NA,NA
"1993-07-31",18.29399142,30.63687922,NA,NA,NA
"1993-08-17",NA,NA,"athabasca_tm5_19930817",-720,-1440
"1993-08-30",18.86304414,30.17320662,NA,NA,NA
"1993-09-30",20.30387799,30.22493869,NA,NA,NA
"1993-10-30",22.47087676,29.50452177,NA,NA,NA
"1993-11-30",24.32556714,29.39339362,NA,NA,NA
"1993-12-30",24.43286327,29.39339362,NA,NA,NA
"1994-03-01",18.61587983,29.24011343,NA,NA,NA
"1994-03-31",16.45462906,29.75935009,NA,NA,NA
"1994-05-01",16.03885653,28.88565297,NA,NA,NA
"1994-05-31",17.11564991,28.62699264,NA,NA,NA
"1994-07-01",15.31843961,28.47371245,NA,NA,NA
"1994-07-26",NA,NA,"athabasca_tm5_19940726",-1440,-1440
"1994-08-01",17.58698651,28.42581239,NA,NA,NA
"1994-10-01",22.94221337,28.57526058,NA,NA,NA
"1994-12-01",22.53027284,27.96022379,NA,NA,NA
"1994-12-31",20.06054568,27.76095953,NA,NA,NA
"1995-01-31",20.16209381,27.86442367,NA,NA,NA
"1995-03-02",18.97608829,28.01770386,NA,NA,NA
"1995-04-01",18.30931944,27.9678878,NA,NA,NA
"1995-05-02",17.38197425,28.32809626,NA,NA,NA
"1995-06-01",16.50636113,28.48329246,NA,NA,NA
"1995-07-02",15.52919988,28.4353924,NA,NA,NA
"1995-08-01",14.65358676,28.53694053,NA,NA,NA
"1995-09-01",17.43370632,28.38366033,NA,NA,NA
"1995-09-24",NA,NA,"athabasca_tm5_19950924",-2160,0
"1995-10-01",16.97003372,28.5905886,NA,NA,NA
"1995-12-01",20.16209381,28.89714899,NA,NA,NA
"1995-12-31",19.70033722,28.79176885,NA,NA,NA
"1996-01-31",19.18493256,29.46236971,NA,NA,NA
"1996-03-01",22.06660025,29.41255365,NA,NA,NA
"1996-04-01",22.78893317,29.77276211,NA,NA,NA
"1996-05-01",23.30625383,28.84924893,NA,NA,NA
"1996-06-22",NA,NA,"athabasca_tm5_19960622",-2160,-480
"1996-07-01",23.09932557,29.10982526,NA,NA,NA
"1996-07-31",25.98482526,28.69213673,NA,NA,NA
"1996-08-31",23.15297364,28.90098099,NA,NA,NA
"1996-09-30",23.56299816,29.31100552,NA,NA,NA
"1996-10-31",22.79084917,29.67312998,NA,NA,NA
"1996-11-30",18.6733599,29.67312998,NA,NA,NA
"1996-12-30",16.46420907,29.56200184,NA,NA,NA
"1997-01-30",17.18270999,29.61564991,NA,NA,NA
"1997-03-01",19.24241263,29.25160944,NA,NA,NA
"1997-04-01",17.18270999,29.82641018,NA,NA,NA
"1997-05-01",17.23252606,27.09227468,NA,NA,NA
"1997-07-01",11.56690681,28.79751686,NA,NA,NA
"1997-07-31",13.62469344,28.64232066,NA,NA,NA
"1997-08-12",NA,NA,"athabasca_tm5_19970812",-2160,-960
"1997-08-31",16.66347333,28.68638872,NA,NA,NA
"1997-09-30",16.77268547,28.07709994,NA,NA,NA
"1997-10-31",16.77268547,28.38174433,NA,NA,NA
"1997-11-30",20.01264562,28.43347639,NA,NA,NA
"1997-12-31",13.88335377,30.28433476,NA,NA,NA
"1998-01-30",12.08614347,30.08315451,NA,NA,NA
"1998-03-01",12.23942367,30.03717045,NA,NA,NA
"1998-05-01",10.28318516,31.22509197,NA,NA,NA
"1998-06-01",8.587522992,32.35744942,NA,NA,NA
"1998-07-01",7.966738197,33.7503832,NA,NA,NA
"1998-07-05",NA,NA,"athabasca_tm5_19980705",-2160,-1440
"1998-08-31",10.49202943,33.7503832,NA,NA,NA
"1998-09-30",10.2333691,35.08966891,NA,NA,NA
"1998-10-31",11.52092275,39.00022992,NA,NA,NA
"1998-11-30",13.11503679,38.74156959,NA,NA,NA
"1998-12-31",14.50797057,40.2322195,NA,NA,NA
"1999-01-30",14.71298283,42.44328633,NA,NA,NA
"1999-03-02",13.57679338,40.2322195,NA,NA,NA
"1999-04-01",12.6551962,45.33070202,NA,NA,NA
"1999-05-01",12.85829246,44.14661251,NA,NA,NA
"1999-06-01",10.69320969,45.02222563,NA,NA,NA
"1999-06-15",NA,NA,"athabasca_tm5_19990615",0,-1920
"1999-07-01",11.26034641,46.15649908,NA,NA,NA
"1999-08-01",10.73919375,47.13749234,NA,NA,NA
"1999-08-31",10.84457388,41.47378909,NA,NA,NA
"1999-10-31",12.0324954,44.15810852,NA,NA,NA
"1999-11-30",13.32196505,43.84963213,NA,NA,NA
"1999-12-31",14.35277437,43.84963213,NA,NA,NA
"2000-01-30",15.94688841,44.15810852,NA,NA,NA
"2000-03-01",16.36074494,51.8776824,NA,NA,NA
"2000-03-31",13.68408952,45.2310699,NA,NA,NA
"2000-05-31",15.0770233,40.8568363,NA,NA,NA
"2000-06-30",16.72286941,41.88764562,NA,NA,NA
"2000-07-31",17.96252299,40.96604844,NA,NA,NA
"2000-08-30",18.32081545,43.02191907,NA,NA,NA
"2000-09-13",NA,NA,"athabasca_etm_20000913",0,0
"2000-09-30",17.02559779,45.18700184,NA,NA,NA
"2000-10-30",15.48129982,40.91240037,NA,NA,NA
"2000-11-29",13.36603311,37.97708461,NA,NA,NA
"2000-12-30",11.10323421,39.00789393,NA,NA,NA
"2001-01-29",11.25651441,36.89454323,NA,NA,NA
"2001-03-01",12.54406806,38.03073268,NA,NA,NA
