localdata,globaldata,date,x,y,localylabel,globalylabel,annotation,title,intro,imgsrc,datasrc,fastfacts,moreinfo,moreinfosrc
null,359.43,26176,null,null,,,,,,,,,,
133.1302974,377.21,26206,null,null,,,,,,,,,,
128.4968635,null,26236,null,null,,,,,,,,,,
null,378.43,26237,null,null,,,,,,,,,,
127.8264617,411.33,26267,null,null,,,,,,,,,,
127.2096921,null,26297,null,null,,,,,,,,,,
null,422.69,26298,null,null,,,,,,,,,,
127.9816118,null,26328,null,null,,,,,,,,,,
null,389.17,26329,null,null,,,,,,,,,,
128.3417134,413.25,26358,null,null,,,,,,,,,,
129.0121151,null,26388,null,null,,,,,,,,,,
null,380.33,26389,null,null,,,,,,,,,,
129.0619164,375.35,26419,null,null,,,,,,,,,,
129.4737346,null,26449,null,null,,,,,,,,,,
null,377.21,26450,null,null,,,,,,,,,,
129.4737346,385.34,26480,null,null,,,,,,,,,,
128.8052483,null,26510,null,null,,,,,,,,,,
null,387.23,26511,null,null,,,,,,,,,,
null,376.69,26542,null,null,,,,,,,,,,
128.8052483,null,26571,null,null,,,,,,,,,,
null,399.01,26572,null,null,,,,,,,,,,
129.1136331,null,26601,null,null,,,,,,,,,,
null,404.66,26603,null,null,,,,,,,,,,
129.9372695,null,26632,null,null,,,,,,,,,,
null,436.56,26633,null,null,,,,,,,,,,
130.2973711,null,26662,null,null,,,,,,,,,,
null,440.05,26664,null,null,,,,,,,,,,
130.1958531,null,26693,null,null,,,,,,,,,,
null,403.53,26695,null,null,,,,,,,,,,
129.8874683,429.48,26723,null,null,,,,,,,,,,
129.6288847,396.98,26754,null,null,,,,,,,,,,
128.9086817,392.97,26784,null,null,,,,,,,,,,
128.5485802,null,26814,null,null,,,,,,,,,,
null,387.92,26815,null,null,,,,,,,,,,
129.577168,391.4,26845,null,null,,,,,,,,,,
129.7323182,null,26875,null,null,,,,,,,,,,
null,396.5,26876,null,null,,,,,,,,,,
129.9372695,null,26906,null,null,,,,,,,,,,
null,385.04,26907,null,null,,,,,,,,,,
130.8126227,null,26936,null,null,,,,,,,,,,
null,409.04,26937,null,null,,,,,,,,,,
130.0924197,null,26967,null,null,,,,,,,,,,
null,412.87,26968,null,null,,,,,,,,,,
129.4737346,null,26997,null,null,,,,,,,,,,
null,444.06,26998,null,null,,,,,,,,,,
129.1136331,null,27027,null,null,,,,,,,,,,
null,455.99,27029,null,null,,,,,,,,,,
130.040703,null,27058,null,null,,,,,,,,,,
null,425.82,27060,null,null,,,,,,,,,,
132.9751472,449.2,27088,null,null,,,,,,,,,,
null,410.15,27119,null,null,,,,,,,,,,
134.1090839,null,27120,null,null,,,,,,,,,,
null,401.75,27149,null,null,,,,,,,,,,
134.5707034,null,27150,null,null,,,,,,,,,,
null,399.6,27180,null,null,,,,,,,,,,
134.46727,null,27181,null,null,,,,,,,,,,
null,407.22,27210,null,null,,,,,,,,,,
135.8061581,null,27211,null,null,,,,,,,,,,
137.7120146,409.91,27241,null,null,,,,,,,,,,
139.8726237,401.31,27272,null,null,,,,,,,,,,
